,lon,lat,field,inv,res
0,101.25,27.5,57.096551,54.68350931274822,2.413041687251777
1,101.25,30.5,57.096551,54.68097674527885,2.4155742547211503
2,103.75,27.5,57.096551,54.683509312748235,2.413041687251763
3,103.75,30.5,57.096551,54.68097674527884,2.4155742547211574
0,101.25,27.5,56.27026,58.10289388264546,-1.8326338826454602
1,101.25,30.5,56.27026,58.10032261981552,-1.8300626198155214
2,103.75,27.5,56.27026,58.102893882645475,-1.8326338826454744
3,103.75,30.5,56.27026,58.100322619815515,-1.8300626198155143
0,101.25,27.5,60.48909499999999,61.697129113771304,-1.208034113771312
1,101.25,30.5,60.48909499999999,61.694082588500905,-1.204987588500913
2,103.75,27.5,60.48909499999999,61.69712911377131,-1.208034113771319
3,103.75,30.5,60.48909499999999,61.694082588500926,-1.2049875885009342
0,101.25,27.5,71.880191,65.30812944609927,6.572061553900724
1,101.25,30.5,71.880191,65.30436854085266,6.575822459147332
2,103.75,27.5,71.880191,65.30812944609926,6.572061553900738
3,103.75,30.5,71.880191,65.30436854085266,6.575822459147332
0,101.25,27.5,63.999938,68.51139730121601,-4.511459301216007
1,101.25,30.5,63.999938,68.50730070702753,-4.507362707027525
2,103.75,27.5,63.999938,68.51139730121598,-4.511459301215979
3,103.75,30.5,63.999938,68.50730070702751,-4.507362707027511
0,101.25,27.5,75.11919499999999,71.52657554478003,3.5926194552199604
1,101.25,30.5,75.11919499999999,71.52189574176927,3.59729925823072
2,103.75,27.5,75.11919499999999,71.52657554477999,3.592619455220003
3,103.75,30.5,75.11919499999999,71.52189574176928,3.5972992582307057
0,101.25,27.5,78.86495699999999,73.90346877901645,4.96148822098354
1,101.25,30.5,78.86495699999999,73.89867074741689,4.966286252583103
2,103.75,27.5,78.86495699999999,73.90346877901644,4.961488220983554
3,103.75,30.5,78.86495699999999,73.8986707474169,4.966286252583089
0,101.25,27.5,75.884937,75.47206981352632,0.41286718647367593
1,101.25,30.5,75.884937,75.46780052559993,0.41713647440006696
2,103.75,27.5,75.884937,75.4720698135263,0.41286718647369014
3,103.75,30.5,75.884937,75.46780052559994,0.41713647440005275
0,101.25,27.5,79.89389399999999,76.49916810998859,3.394725890011401
1,101.25,30.5,79.89389399999999,76.49562576762524,3.398268232374747
2,103.75,27.5,79.89389399999999,76.49916810998857,3.394725890011415
3,103.75,30.5,79.89389399999999,76.49562576762526,3.3982682323747326
0,101.25,27.5,73.952047,77.14872682839663,-3.1966798283966398
1,101.25,30.5,73.952047,77.14573677597538,-3.193689775975386
2,103.75,27.5,73.952047,77.14872682839663,-3.1966798283966398
3,103.75,30.5,73.952047,77.14573677597535,-3.1936897759753577
0,101.25,27.5,74.235906,77.83148178538436,-3.595575785384355
1,101.25,30.5,74.235906,77.82802786392891,-3.5921218639289094
2,103.75,27.5,74.235906,77.83148178538433,-3.5955757853843267
3,103.75,30.5,74.235906,77.82802786392894,-3.592121863928938
0,101.25,27.5,79.918093,78.42609810178863,1.4919948982113738
1,101.25,30.5,79.918093,78.42118983309534,1.4969031669046586
2,103.75,27.5,79.918093,78.42609810178858,1.4919948982114164
3,103.75,30.5,79.918093,78.42118983309535,1.4969031669046444
0,101.25,27.5,81.661757,78.23080357158749,3.430953428412508
1,101.25,30.5,81.661757,78.22437141031762,3.4373855896823784
2,103.75,27.5,81.661757,78.23080357158749,3.430953428412508
3,103.75,30.5,81.661757,78.22437141031763,3.437385589682364
0,101.25,27.5,88.908218,76.56234463392624,12.34587336607376
1,101.25,30.5,88.908218,76.55521996582563,12.352998034174377
2,103.75,27.5,88.908218,76.56234463392622,12.34587336607379
3,103.75,30.5,88.908218,76.55521996582564,12.352998034174362
0,101.25,27.5,69.903696,72.98498782869231,-3.081291828692315
1,101.25,30.5,69.903696,72.97888293871515,-3.0751869387151487
2,103.75,27.5,69.903696,72.9849878286923,-3.081291828692301
3,103.75,30.5,69.903696,72.97888293871516,-3.075186938715163
0,101.25,27.5,70.83033499999999,68.36566608708897,2.464668912911023
1,101.25,30.5,70.83033499999999,68.36100726844566,2.46932773155433
2,103.75,27.5,70.83033499999999,68.36566608708895,2.464668912911037
3,103.75,30.5,70.83033499999999,68.36100726844568,2.4693277315543156
0,101.25,27.5,65.621503,63.06131855288561,2.560184447114395
1,101.25,30.5,65.621503,63.058255356436625,2.563247643563379
2,103.75,27.5,65.621503,63.06131855288561,2.560184447114395
3,103.75,30.5,65.621503,63.0582553564366,2.5632476435634075
0,101.25,27.5,52.093884,57.58227603470662,-5.488392034706614
1,101.25,30.5,52.093884,57.580560567207215,-5.486676567207212
2,103.75,27.5,52.093884,57.582276034706624,-5.488392034706621
3,103.75,30.5,52.093884,57.58056056720722,-5.486676567207219
0,101.25,27.5,54.984639,52.61423062781727,2.3704083721827303
1,101.25,30.5,54.984639,52.612798440729975,2.3718405592700265
2,103.75,27.5,54.984639,52.614230627817264,2.3704083721827374
3,103.75,30.5,54.984639,52.61279844072999,2.3718405592700122
0,101.25,27.5,43.440603,48.079672659297614,-4.639069659297611
1,101.25,30.5,43.440603,48.07806112117402,-4.637458121174014
2,103.75,27.5,43.440603,48.079672659297614,-4.639069659297611
3,103.75,30.5,43.440603,48.07806112117402,-4.637458121174014
0,101.25,27.5,51.787881,44.07506790747583,7.712813092524172
1,101.25,30.5,51.787881,44.07285594976538,7.715025050234615
2,103.75,27.5,51.787881,44.07506790747583,7.712813092524172
3,103.75,30.5,51.787881,44.07285594976534,7.715025050234658
0,101.25,27.5,38.38037,40.05309551372626,-1.672725513726263
1,101.25,30.5,38.38037,40.05091055850537,-1.6705405585053725
2,103.75,27.5,38.38037,40.05309551372626,-1.672725513726263
3,103.75,30.5,38.38037,40.050910558505365,-1.6705405585053654
0,101.25,27.5,38.741465999999996,36.28779174698755,2.4536742530124442
1,101.25,30.5,38.741465999999996,36.285723955138685,2.45574204486131
2,103.75,27.5,38.741465999999996,36.28779174698754,2.4536742530124585
3,103.75,30.5,38.741465999999996,36.28572395513868,2.455742044861317
0,101.25,27.5,31.243381,32.7753946831921,-1.5320136831920976
1,101.25,30.5,31.243381,32.77360341625135,-1.5302224162513482
2,103.75,27.5,31.243381,32.77539468319208,-1.5320136831920834
3,103.75,30.5,31.243381,32.77360341625133,-1.530222416251334
0,101.25,27.5,31.623924,29.728756219295622,1.8951677807043765
1,101.25,30.5,31.623924,29.727022397258487,1.8969016027415115
2,103.75,27.5,31.623924,29.728756219295597,1.8951677807044014
3,103.75,30.5,31.623924,29.727022397258487,1.8969016027415115
0,101.25,27.5,23.760218,27.11417052319743,-3.3539525231974316
1,101.25,30.5,23.760218,27.11238438830571,-3.3521663883057116
2,103.75,27.5,23.760218,27.114170523197433,-3.353952523197435
3,103.75,30.5,23.760218,27.112384388305703,-3.3521663883057045
0,101.25,27.5,26.469064000000003,25.061826890248554,1.4072371097514491
1,101.25,30.5,26.469064000000003,25.05961878364292,1.4094452163570814
2,103.75,27.5,26.469064000000003,25.06182689024855,1.4072371097514527
3,103.75,30.5,26.469064000000003,25.05961878364291,1.409445216357092
0,101.25,27.5,25.646328,23.251778622612065,2.3945493773879356
1,101.25,30.5,25.646328,23.249413650812578,2.3969143491874227
2,103.75,27.5,25.646328,23.25177862261203,2.394549377387971
3,103.75,30.5,25.646328,23.249413650812574,2.3969143491874263
0,101.25,27.5,29.165719,21.47972204575208,7.685996954247919
1,101.25,30.5,29.165719,21.477991456034225,7.687727543965774
2,103.75,27.5,29.165719,21.47972204575206,7.6859969542479405
3,103.75,30.5,29.165719,21.477991456034204,7.687727543965796
0,101.25,27.5,19.053712,19.777106008383292,-0.7233940083832913
1,101.25,30.5,19.053712,19.777007358643697,-0.7232953586436963
2,103.75,27.5,19.053712,19.777106008383278,-0.723394008383277
3,103.75,30.5,19.053712,19.777007358643683,-0.7232953586436821
0,101.25,27.5,9.526957000000001,19.038880141684725,-9.511923141684724
1,101.25,30.5,9.526957000000001,19.04011820414469,-9.513161204144689
2,103.75,27.5,9.526957000000001,19.03888014168472,-9.51192314168472
3,103.75,30.5,9.526957000000001,19.04011820414466,-9.51316120414466
0,101.25,27.5,16.986513000000002,20.03497812188554,-3.0484651218855383
1,101.25,30.5,16.986513000000002,20.03595924873632,-3.0494462487363165
2,103.75,27.5,16.986513000000002,20.034978121885537,-3.0484651218855348
3,103.75,30.5,16.986513000000002,20.035959248736294,-3.0494462487362917
0,101.25,27.5,29.669459000000003,22.374985612691425,7.294473387308578
1,101.25,30.5,29.669459000000003,22.374732768222483,7.2947262317775206
2,103.75,27.5,29.669459000000003,22.374985612691432,7.294473387308571
3,103.75,30.5,29.669459000000003,22.374732768222472,7.294726231777531
0,101.25,27.5,19.949707999999998,25.268610970193873,-5.318902970193875
1,101.25,30.5,19.949707999999998,25.26730969293408,-5.317601692934083
2,103.75,27.5,19.949707999999998,25.268610970193873,-5.318902970193875
3,103.75,30.5,19.949707999999998,25.267309692934063,-5.3176016929340655
0,101.25,27.5,33.168696000000004,28.741112857192256,4.427583142807748
1,101.25,30.5,33.168696000000004,28.738528283792885,4.430167716207119
2,103.75,27.5,33.168696000000004,28.74111285719227,4.427583142807734
3,103.75,30.5,33.168696000000004,28.738528283792867,4.430167716207137
0,101.25,27.5,32.597981,32.139547591357214,0.45843340864278304
1,101.25,30.5,32.597981,32.13630496685462,0.4616760331453804
2,103.75,27.5,32.597981,32.13954759135723,0.4584334086427688
3,103.75,30.5,32.597981,32.136304966854624,0.4616760331453733
0,101.25,27.5,43.241788,35.27562361921528,7.9661643807847184
1,101.25,30.5,43.241788,35.27234767676331,7.9694403232366895
2,103.75,27.5,43.241788,35.27562361921529,7.966164380784711
3,103.75,30.5,43.241788,35.272347676763346,7.969440323236654
0,101.25,27.5,30.695459999999997,37.95062813895251,-7.255168138952513
1,101.25,30.5,30.695459999999997,37.94805440614545,-7.252594406145455
2,103.75,27.5,30.695459999999997,37.95062813895252,-7.25516813895252
3,103.75,30.5,30.695459999999997,37.94805440614547,-7.2525944061454695
0,101.25,27.5,44.19917,40.83468407064122,3.3644859293587857
1,101.25,30.5,44.19917,40.83231275457377,3.3668572454262318
2,103.75,27.5,44.19917,40.834684070641224,3.3644859293587785
3,103.75,30.5,44.19917,40.83231275457381,3.366857245426189
0,101.25,27.5,43.960772999999996,43.66577985399011,0.2949931460098867
1,101.25,30.5,43.960772999999996,43.6637483244846,0.29702467551539513
2,103.75,27.5,43.960772999999996,43.6657798539901,0.2949931460098938
3,103.75,30.5,43.960772999999996,43.66374832448463,0.2970246755153667
